"","ID","nName","nodeDegree","nodeBetweenness"
"loc01-tmc060512",0,"loc01-tmc060512",1,0
"Chamdo",1,"Chamdo",3,100
"Chengdu",2,"Chengdu",2,60.1785714285714
"Dali",3,"Dali",2,61.6071428571429
"Danba",4,"Danba",2,18.9285714285714
"Daocheng",5,"Daocheng",2,18.2142857142857
"Daofu",6,"Daofu",2,31.7857142857143
"Deqin",7,"Deqin",2,71.6071428571429
"frk01-tmc060512",8,"frk01-tmc060512",3,47.5
"frk02-tmc060512",9,"frk02-tmc060512",3,95.5357142857143
"Garze",10,"Garze",2,31.7857142857143
"Kangding",11,"Kangding",2,89.6428571428571
"Lijiang",12,"Lijiang",2,64.2857142857143
"Lincang",13,"Lincang",2,24.1071428571429
"Litang",14,"Litang",3,52.8571428571429
"loc02-tmc060512",15,"loc02-tmc060512",2,23.2142857142857
"loc03-tmc060512",16,"loc03-tmc060512",3,34.2857142857143
"loc04-tmc060512",17,"loc04-tmc060512",2,64.2857142857143
"loc05-tmc060512",18,"loc05-tmc060512",2,73.75
"loc06-tmc060512",19,"loc06-tmc060512",2,82.8571428571428
"loc07-tmc060512",20,"loc07-tmc060512",2,91.6071428571428
"loc08-tmc060512",21,"loc08-tmc060512",2,27.5
"loc09-tmc060512",22,"loc09-tmc060512",2,29.1071428571429
"loc10-tmc060512",23,"loc10-tmc060512",2,30.3571428571429
"loc11-tmc060512",24,"loc11-tmc060512",2,31.9642857142857
"loc12-tmc060512",25,"loc12-tmc060512",2,78.5714285714286
"loc13-tmc060512",26,"loc13-tmc060512",2,85
"loc14-tmc060512",27,"loc14-tmc060512",2,91.0714285714286
"loc15-tmc060512",28,"loc15-tmc060512",3,96.7857142857143
"loc16-tmc060512",29,"loc16-tmc060512",2,32.5
"loc17-tmc060512",30,"loc17-tmc060512",2,32.8571428571429
"loc18-tmc060512",31,"loc18-tmc060512",2,51.25
"loc19-tmc060512",32,"loc19-tmc060512",2,77.8571428571428
"loc20-tmc060512",33,"loc20-tmc060512",2,66.0714285714286
"loc21-tmc060512",34,"loc21-tmc060512",2,54.2857142857143
"loc22-tmc060512",35,"loc22-tmc060512",2,48.3928571428571
"loc23-tmc060512",36,"loc23-tmc060512",2,42.5
"loc24-tmc060512",37,"loc24-tmc060512",2,36.6071428571429
"loc25-tmc060512",38,"loc25-tmc060512",2,30.7142857142857
"loc26-tmc060512",39,"loc26-tmc060512",2,24.8214285714286
"loc27-tmc060512",40,"loc27-tmc060512",2,66.9642857142857
"loc28-tmc060512",41,"loc28-tmc060512",2,75.8928571428571
"loc29-tmc060512",42,"loc29-tmc060512",2,79.8214285714286
"loc30-tmc060512",43,"loc30-tmc060512",2,63.75
"loc31-tmc060512",44,"loc31-tmc060512",2,62.8571428571429
"loc32-tmc060512",45,"loc32-tmc060512",2,22.3214285714286
"loc33-tmc060512",46,"loc33-tmc060512",2,18.5714285714286
"loc34-tmc060512",47,"loc34-tmc060512",2,14.4642857142857
"loc35-tmc060512",48,"loc35-tmc060512",2,10
"loc36-tmc060512",49,"loc36-tmc060512",2,5.17857142857143
"loc37-tmc060512",50,"loc37-tmc060512",2,31.25
"loc38-tmc060512",51,"loc38-tmc060512",2,27.8571428571429
"loc39-tmc060512",52,"loc39-tmc060512",2,20
"loc40-tmc060512",53,"loc40-tmc060512",2,15.5357142857143
"loc41-tmc060512",54,"loc41-tmc060512",2,31.25
"Luding",55,"Luding",2,83.75
"Nagqu",56,"Nagqu",2,54.4642857142857
"P'u-erh ",57,"P'u-erh ",2,10.7142857142857
"Shigatse",58,"Shigatse",2,11.7857142857143
"Simao",59,"Simao",2,5.53571428571429
"Xiaguan",60,"Xiaguan",3,60
"Ya'an",61,"Ya'an",2,71.9642857142857
"Yading",62,"Yading",2,18.75
"Yangbajain",63,"Yangbajain",2,44.2857142857143
"Zhongdian",64,"Zhongdian",3,83.3928571428572
"Lhasa",65,"Lhasa",1,0
"Tengchong",66,"Tengchong",1,0
"Jinghong",67,"Jinghong",1,0
